PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs
LongShort,CAPM,Method1_ObservedQuality,0.0940572399325544,0.007838103327712866,2.061978232260255,0.04059277700811181,0.01806395114977377,189
LongShort,FF3,Method1_ObservedQuality,0.1113037897776282,0.00927531581480235,2.8324175956973083,0.005131827686186918,0.3505216828395249,189
LongShort,FF3+MOM,Method1_ObservedQuality,0.06348474095938117,0.0052903950799484305,1.4337797432459556,0.15333228256035314,0.376685350652306,189
LongShort,FF5,Method1_ObservedQuality,0.072352072854137,0.006029339404511417,2.316482698565765,0.021639675113926504,0.6042709168810025,189
LongShort,FF5+MOM,Method1_ObservedQuality,0.042216560501450784,0.0035180467084542323,1.1896878405590756,0.23571877709745648,0.6151274931870578,189
LongShort,CAPM,Method2_LatentQuality,0.06298527147645458,0.005248772623037882,1.4613915924368934,0.1455863211036672,0.012795877841988323,189
LongShort,FF3,Method2_LatentQuality,0.08091105758844404,0.006742588132370337,2.647539864181531,0.008807620638817015,0.41760981872038194,189
LongShort,FF3+MOM,Method2_LatentQuality,0.04438296714670247,0.0036985805955585395,1.203602717638336,0.2302893679405078,0.4357754949878585,189
LongShort,FF5,Method2_LatentQuality,0.05014392091041647,0.004178660075868039,2.128681074080671,0.03461828295435487,0.6118762463759104,189
LongShort,FF5+MOM,Method2_LatentQuality,0.027783178050598357,0.0023152648375498633,0.9668707042644796,0.33489171404487594,0.6189885298209858,189
LongShort,CAPM,Method3_ConservativeQuality,0.09322783011289251,0.007768985842741043,2.2910457194429155,0.023075871644739898,0.008150533436614649,189
LongShort,FF3,Method3_ConservativeQuality,0.10999183844704738,0.009165986537253949,2.9057205733343747,0.004111259320016103,0.3708607998878516,189
LongShort,FF3+MOM,Method3_ConservativeQuality,0.06021366044971711,0.005017805037476426,1.4084777667167803,0.16067713570975162,0.39963657304246003,189
LongShort,FF5,Method3_ConservativeQuality,0.07142528674215748,0.005952107228513123,2.4068315740505035,0.017085962100899854,0.5953902870095693,189
LongShort,FF5+MOM,Method3_ConservativeQuality,0.0381533793702821,0.0031794482808568413,1.1437978519595335,0.25420964968321336,0.6088223702667569,189
LongShort,CAPM,Method4_ProbabilisticQuality,0.10141257590288642,0.008451047991907202,2.2116053095897614,0.02820554691872834,0.01724905922404696,189
LongShort,FF3,Method4_ProbabilisticQuality,0.11853884991918812,0.009878237493265676,3.006475972136849,0.003010164708788343,0.34678298942162167,189
LongShort,FF3+MOM,Method4_ProbabilisticQuality,0.06777074199866726,0.005647561833222271,1.5010455927633375,0.13505782622695706,0.37603453782646146,189
LongShort,FF5,Method4_ProbabilisticQuality,0.07904119302773298,0.006586766085644415,2.5468777025871265,0.011692371066158058,0.596009104098637,189
LongShort,FF5+MOM,Method4_ProbabilisticQuality,0.04589657069243498,0.003824714224369582,1.2931317913289897,0.1976044751248185,0.6090357324731328,189
