PortfolioStrategy,FactorModel,Method1_ObservedQuality_alpha_annualized,Method2_LatentQuality_alpha_annualized,Method3_ConservativeQuality_alpha_annualized,Method4_ProbabilisticQuality_alpha_annualized,Method1_ObservedQuality_p_value,Method2_LatentQuality_p_value,Method3_ConservativeQuality_p_value,Method4_ProbabilisticQuality_p_value,Method1_ObservedQuality_t_stat,Method2_LatentQuality_t_stat,Method3_ConservativeQuality_t_stat,Method4_ProbabilisticQuality_t_stat,Method2_LatentQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method3_ConservativeQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method4_ProbabilisticQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method2_LatentQuality_minus_Method1_ObservedQuality_p_value,Method3_ConservativeQuality_minus_Method1_ObservedQuality_p_value,Method4_ProbabilisticQuality_minus_Method1_ObservedQuality_p_value,Method2_LatentQuality_minus_Method1_ObservedQuality_t_stat,Method3_ConservativeQuality_minus_Method1_ObservedQuality_t_stat,Method4_ProbabilisticQuality_minus_Method1_ObservedQuality_t_stat
LongShort,CAPM,0.0940572399325544,0.06298527147645458,0.09322783011289251,0.10141257590288642,0.04059277700811181,0.1455863211036672,0.023075871644739898,0.02820554691872834,2.061978232260255,1.4613915924368934,2.2910457194429155,2.2116053095897614,-0.031071968456099747,-0.0008294098196618208,0.007355335970332077,0.620712340033343,0.9891690883288995,0.9093718292708886,-0.4952530672389149,-0.013584030499701454,0.11390802072034521
LongShort,FF3,0.1113037897776282,0.08091105758844404,0.10999183844704738,0.11853884991918812,0.005131827686186918,0.008807620638817015,0.004111259320016103,0.003010164708788343,2.8324175956973083,2.647539864181531,2.9057205733343747,3.006475972136849,-0.03039273218918677,-0.001311951330583299,0.0072350601415581695,0.5431921474455401,0.9808391486931167,0.8965729788912817,-0.6085560599942499,-0.02403311694823957,0.1300810670348582
LongShort,FF3+MOM,0.06348474095938117,0.04438296714670247,0.06021366044971711,0.06777074199866726,0.15333228256035314,0.2302893679405078,0.16067713570975162,0.13505782622695706,1.4337797432459556,1.203602717638336,1.4084777667167803,1.5010455927633375,-0.01910177381267919,-0.0032710805096647956,0.00428600103928534,0.7412744371359152,0.9578214927409825,0.9460830553969011,-0.3304150005159407,-0.05292360624365583,0.0676725477062293
LongShort,FF5,0.072352072854137,0.05014392091041647,0.07142528674215748,0.07904119302773298,0.021639675113926504,0.03461828295435487,0.017085962100899854,0.011692371066158058,2.316482698565765,2.128681074080671,2.4068315740505035,2.5468777025871265,-0.0222081519437456,-0.0009267861120037697,0.006689120173572082,0.5711397826676323,0.9827913817618827,0.8788143726945281,-0.5668850272401692,-0.021584222041350343,0.15257898965091876
LongShort,FF5+MOM,0.042216560501450784,0.027783178050598357,0.0381533793702821,0.04589657069243498,0.23571877709745648,0.33489171404487594,0.25420964968321336,0.1976044751248185,1.1896878405590756,0.9668707042644796,1.1437978519595335,1.2931317913289897,-0.01443338245085415,-0.004063181131170351,0.003680010190982602,0.7525261049223522,0.9335751832359334,0.9417023420427793,-0.31554845231349726,-0.08340522366608728,0.07318092412889111
Q5,CAPM,0.014299957053713412,0.00760259131479154,0.011506528960600887,0.015436674728897141,0.17981167171369639,0.5203668354835216,0.3588254674274318,0.16353034948988654,1.3463739094846425,0.6439964222629687,0.9198705838087634,1.3987965491827832,-0.0066973657389219066,-0.0027934280931125044,0.0011367176751837377,0.6721356806916565,0.8643388684493274,0.9404719832883446,-0.42355249388918875,-0.17097120196787877,0.07472686694050337
Q5,FF3,0.017140219228332865,0.01046885434674635,0.014385934739674738,0.0182819107576959,0.08238907633229342,0.34968415738537795,0.22748277203897804,0.07652232127312342,1.7464699265829686,0.9375771283717197,1.210888501872882,1.7811890456578434,-0.0066713648816138366,-0.002754284488685199,0.0011416915293366164,0.651913106295718,0.8573675326059782,0.9352167826904005,-0.4514731145828059,-0.17985159592837147,0.08133844211680274
Q5,FF3+MOM,0.019561556561370163,0.016615795834124217,0.01985042859862884,0.020178964365348016,0.08989325501673173,0.16349631965364697,0.12782399853528803,0.09438258677879885,1.704940510288332,1.3990002402096795,1.5296368173553587,1.681395859962825,-0.002945760727245922,0.0002888720372586917,0.0006174078039778569,0.8581576404829729,0.9866559649206907,0.9701277991753541,-0.17884524217815617,0.016736416677875045,0.03747348688958202
Q5,FF5,0.008438543633515466,0.004523617835835368,0.0065271350975478915,0.009315935426166082,0.3752344249292725,0.6603667317337862,0.5681859076371425,0.3473357198419922,0.888880109710333,0.4401239344421344,0.5717604309573937,0.9421935057008148,-0.003914925797733046,-0.0019114085360211336,0.0008773917925998798,0.7794730414454807,0.8974483362130714,0.9488380955212408,-0.2802121671218588,-0.128974922941288,0.06420996729317377
Q5,FF5+MOM,0.012468359470352335,0.01132178228890991,0.013496952998033565,0.01286957075742248,0.25140417785269276,0.2924901307349086,0.2617991804494897,0.2552011468375204,1.1506052267898916,1.0557318678345171,1.1256421688890375,1.141404635586561,-0.0011465771814436615,0.0010285935276800606,0.0004012112870691448,0.9402315545461273,0.9494660419431766,0.9797227958778298,-0.07503063553923346,0.06342104473496844,0.025433916430799904
