Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2004,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,505.5,266.11,98.06,0.0,2.72,137.5,7.24,0.9576481967666158,8.49,0.0,305.87
2005,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,481.37,260.31,89.51,0.0,2.41,133.95,8.15,0.9087966220971148,8.99,0.0,228.62
2006,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,499.08,273.25,90.52,0.0,3.54,142.3,7.31,0.8807566339148453,8.81,0.0,245.67
2007,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,593.5,325.12,114.5,0.0,5.05,153.73,8.31,0.9184769192791904,9.04,0.0,174.91
2008,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,627.37,356.02,115.15,0.0,4.34,175.56,11.04,0.8138263665594856,6.46,0.0,147.54
2009,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,652.66,404.81,114.93,0.0,3.62,140.05,9.26,0.865983524211372,8.2,0.0,175.37
2010,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,745.13,489.92,116.65,0.0,2.19,121.93,9.02,1.0413898434516988,5.61,0.0,133.79
2011,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,772.43,516.13,107.69,0.0,2.68,123.76,9.27,1.0969706081335031,5.49,0.0,101.73
2012,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,674.42,443.91,223.54,0.0,1.69,120.26,9.42,0.0407156076495985,8.49,0.0,85.84
2013,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,652.35,439.58,222.23,0.0,1.58,97.76,9.48,-0.1029466616933975,8.62,0.0,86.5
2014,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,620.58,413.15,210.88,0.0,1.85,114.8,0.39,-0.0460109384495175,8.25,0.0,58.83
2015,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,615.57,414.25,192.78,0.0,1.35,115.21,5.54,0.0595445134575573,5.87,0.0,85.0
2016,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,550.83,364.05,185.41,0.0,1.04,105.48,4.4,0.00300327630142,3.85,0.0,82.2
2017,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,531.18,355.28000000000003,176.45,0.0,0.86,105.36,3.68,-0.0129310344827592,3.61,0.0,107.34
2018,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,536.62,351.72,171.78,0.0,0.77,116.09,3.66,0.103131524008351,3.96,0.0,115.66
2019,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,554.7,374.27,167.32999999999998,0.0,1.91,118.37,3.44,0.0918643789508257,14.74,0.0,120.32
2020,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,617.02,412.38,173.84,0.0,1.94,141.62,7.77,0.1931856215275452,17.84,0.0,234.46
2021,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,918.86,649.6,250.89,0.0,3.3,185.33,8.31,0.0778248295806651,22.23,0.0,340.25
2022,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,1031.29,740.97,253.69,0.0,4.79,215.37,8.11,0.1424735994272415,22.45,0.0,238.27
2023,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,1069.81,764.04,271.41,0.0,10.51,240.59,5.32,0.0969867024521164,22.13,0.0,150.66
2024,WUF1V.HE,Wulff Yhtiot Oyj,Professional & Commercial Services,Industrials,1194.67,869.77,290.48,0.0,11.53,260.37,4.17,0.0865275572692223,25.99,0.0,249.53
