Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2005,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,2389.59,1926.65,163.77,0.0,0.0,346.46,0.0,0.8635051665415924
2006,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,1741.54,1334.93,154.6,0.0,0.0,973.24,0.0,0.25893921334922515
2007,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,2941.14,2266.29,162.15,0.0,0.0,1258.67,0.0,0.40733472633811874
2008,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,2772.94,2179.29,169.8,0.0,0.0,1552.67,0.0,0.27298138046075476
2009,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,1178.17,758.36,187.29,0.0,0.0,1788.68,0.0,0.1299953037994499
2010,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,1590.05,1357.33,160.75,0.0,0.0,1758.23,0.0,0.04093321124085019
2011,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,645.03,370.91,134.7,0.0,87.16,1979.22,0.0,0.02640434110407128
2012,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,375.88,171.33,128.4,0.0,0.0,1936.52,0.0,0.03932311569206617
2013,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,632.81,772.42,99.48,0.0,0.0,1382.69,0.0,-0.17291656119592969
2014,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,350.1,241.59,95.7,0.0,101.1,1763.43,0.0,-0.05006719858457664
2015,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,963.74,858.54,90.66,0.0,70.92,1770.62,0.0,-0.0318419536659475
2016,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,395.51,476.71,98.94,0.0,61.29,1619.27,0.0,-0.1490980503560246
2017,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,498.51,395.33,117.33,0.0,60.09,1548.22,0.0,-0.04795184146955859
2018,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,991.65,1330.32,124.04,0.0,56.28,1186.92,0.0,-0.43725777642975094
2019,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,971.26,1063.59,130.25,0.0,67.96,976.13,0.0,-0.297644780920574
2020,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,449.27,567.46,76.59,0.0,62.73,762.08,0.0,-0.33790415704387994
2021,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,233.39,379.99,48.96,0.0,50.41,633.08,0.0,-0.38852909584886586
2022,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,183.29,185.2,29.71,0.0,45.93,615.18,0.0,-0.12606066517116943
2023,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,243.66,296.76,24.85,0.0,37.4,574.68,0.0,-0.2007204009187722
2024,AGATE.CO,COX,Agat Ejendomme A/S,Real Estate Operations,Real Estate,367.2,384.28,28.31,0.0,31.38,506.65,0.0,-0.15152472120793445
