Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2005,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,1331.69,623.61,573.29,0.0,-1.58,667.34,0.0
2006,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,1427.54,662.11,623.83,0.0,-0.44,687.98,1.69
2007,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,1574.94,722.64,714.73,0.0,-0.25,800.88,3.44
2008,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,1659.16,750.18,763.23,0.0,-0.94,822.93,4.92
2009,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,1725.28,782.05,858.95,0.0,-1.49,803.35,6.99
2010,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,1642.78,720.17,808.87,0.0,-0.73,802.05,6.41
2011,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,1692.14,759.86,861.08,0.0,-0.68,832.2,4.74
2012,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,1823.89,849.64,933.53,0.0,-9.43,788.49,0.0
2013,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,1869.88,870.6,930.44,0.0,-1.86,839.2,0.0
2014,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,2088.15,963.8,1019.0300000000001,0.0,-0.75,925.99,0.0
2015,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,2084.32,929.62,1083.95,0.0,-0.45,972.61,0.0
2016,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,2283.4,1052.2,1207.48,0.0,-0.88,1002.83,0.0
2017,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,2274.41,1014.09,1202.4299999999998,0.0,-0.35,1002.11,0.0
2018,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,2326.07,1032.66,1228.19,0.0,-0.42,987.58,0.0
2019,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,2354.31,1073.01,1220.98,0.0,-0.66,961.78,0.0
2020,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,2579.41,1220.68,1238.05,0.0,-11.940000000000001,1134.28,48.91
2021,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,3069.65,1344.5,1409.2199999999998,0.0,-15.08,1224.72,53.51
2022,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,3403.39,1690.59,1493.04,0.0,-25.04,1202.95,17.14
2023,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,3008.34,1556.43,1474.52,0.0,0.0,1166.36,49.27
2024,FLUGb.CO,COX,Flugger group A/S,Chemicals,Materials,3416.95,1660.65,1654.53,0.0,-31.54,1189.34,113.89
