Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2004,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,618.67,272.02,177.81,0.0,-4.67,206.27,0.0
2005,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,875.7,468.56,194.54,0.0,-0.32,208.77,0.0
2006,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,855.91,502.09,295.24,0.0,0.0,241.06,0.0
2007,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,891.29,440.54,261.35,0.0,-0.14,263.18,0.0
2008,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,811.7,419.24,302.58000000000004,0.0,-0.35,333.19,0.0
2009,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,321.08,136.97,213.44,0.0,-2.64,191.2,0.0
2010,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,539.78,261.53,241.23,0.0,-3.98,188.68,0.0
2011,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,580.45,307.04,144.44,0.0,-3.0,170.74,0.0
2012,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,756.89,416.47,302.53999999999996,0.0,-3.72,177.77,0.0
2013,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,650.25,317.9,295.96000000000004,0.0,-2.61,196.89,0.0
2014,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,785.7,432.66,328.96,0.0,-1.62,219.95,0.0
2015,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1138.46,608.17,427.12,35.74,-1.02,285.12,0.0
2016,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1050.77,509.45,451.74,28.7,-1.61,310.69,0.0
2017,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1381.47,753.15,519.6,31.14,-1.78,387.61,0.0
2018,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1737.8,996.45,609.94,34.42,-0.86,460.8,0.0
2019,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1489.5,749.01,602.72,41.9,-0.64,487.13,0.0
2020,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1233.11,687.38,567.8199999999999,45.68,-0.76,414.72,0.0
2021,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1445.11,755.26,650.56,49.99,-1.5,341.03,0.0
2022,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1598.09,919.38,733.16,63.54,0.27,240.06,0.0
2023,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1658.82,719.0,856.76,59.49,0.08999999999999997,429.52,0.0
2024,RAUTE.HE,HEX,Raute Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,2377.17,1175.1,964.13,62.06,0.5,584.72,0.0
