Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2000,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,23.15,23.66,38.12,22.28,0.25,148.72,0.0,-0.11161915008068853,0.0,0.0
2001,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,50.74,34.71,63.32,39.4,0.16,332.56,0.0,-0.024206158287226366,0.0,0.0
2002,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,71.41,0.0,122.76,91.61,0.0,314.64,0.0,0.12795575896262393,0.0,0.0
2003,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,58.57,0.0,147.25,115.05,0.05,282.72,0.0,0.09309564233163552,0.0,0.0
2004,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,53.91,0.0,143.83,115.7,0.0,194.26,0.0,0.1327087408627612,0.0,0.0
2005,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,24.36,0.0,147.29,123.04,0.02,185.97,0.0,0.0004839490240362082,0.0,0.0
2006,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,44.23,0.0,143.72,117.79,0.01,100.3,0.0,0.1823529411764706,0.0,0.0
2007,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,124.32,0.0,146.98,122.09,0.0,180.07,0.0,0.552174154495474,0.0,0.0
2008,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,215.66,0.0,210.68,184.26,0.0,205.68,0.0,0.9200700116686114,0.0,0.0
2009,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,66.38,0.0,217.81,188.62,0.0,45.01,0.0,0.8262608309264607,0.0,0.0
2010,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,69.59,0.0,177.3,142.89,0.0,64.37,0.0,0.5465278856610218,0.0,0.0
2011,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,107.66,0.0,169.68,141.56,0.0,119.7,0.0,0.6644945697577276,0.0,0.0
2012,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,36.91,0.0,211.86,178.14,0.0,40.77,0.0,0.07824380672062715,0.0,0.0
2013,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,73.75,0.0,91.52,62.13,0.0,46.19,0.0,0.9603810348560297,0.0,0.0
2014,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,43.11,0.0,96.7,65.86,0.0,50.25,0.0,0.24417910447761187,0.0,0.0
2015,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,15.23,0.0,107.23,75.56,0.0,30.83,0.0,-0.5332468374959456,0.0,0.0
2016,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,70.0,0.0,132.75,96.76,0.0,218.53,0.0,0.15563080583901526,0.0,0.0
2017,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,43.59,0.0,144.27,103.47,0.0,130.31,0.0,0.021410482695111595,0.0,0.0
2018,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,36.1,0.0,157.45,126.56,0.0,85.51,0.0,0.06092854636884592,0.0,0.0
2019,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,87.23,0.0,220.54,183.14,0.45,158.87,0.0,0.3108201674324919,0.0,0.0
2020,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,150.83,0.0,228.83,184.16,0.34,776.36,0.0,0.1363027461486939,0.0,0.0
2021,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,19.43,0.0,298.43,244.89,0.52,1331.83,0.0,-0.026001817048722453,0.0,0.0
2022,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,309.87,0.0,357.9,296.51,0.62,1511.79,0.0,0.16395134244835594,0.0,0.0
2023,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,71.12,0.0,439.95,373.06,0.63,1318.59,0.0,0.0027301890655928064,0.0,0.0
2024,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,45.45,0.0,524.81,447.29,0.56,910.7,0.0,-0.03582958164049624,0.0,0.0
