Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2007,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,3.14,0.0,14.94,0.0,0.01,11.67,0.0,-1.0119965724078834
2008,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,2.0,0.0,11.93,0.0,0.06,4.76,0.0,-2.0987394957983194
2009,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,4.46,0.0,20.74,0.0,0.0,6.15,0.0,-2.647154471544715
2010,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,0.06,0.0,11.47,0.0,0.0,15.0,0.0,-0.7606666666666667
2011,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,1.76,0.0,16.62,0.0,0.08,4.33,0.0,-3.450346420323326
2012,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,4.87,0.0,24.14,0.0,0.01,30.15,0.0,-0.6394693200663351
2013,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,11.54,0.0,46.86,0.0,0.01,257.7,0.0,-0.13709740007760962
2014,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,25.15,0.0,182.67,0.0,0.04,271.32,0.0,-0.5807164971251658
2015,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,32.29,0.0,279.5,0.0,0.04,217.86,0.0,-1.1349031488111632
2016,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,28.75,0.0,353.90999999999997,0.0,0.03,721.15,0.0,-0.4509325383068709
2017,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,41.49,0.0,487.63,0.0,6.09,1065.88,0.0,-0.42427853041618185
2018,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,10.49,0.0,443.45,0.0,8.48,515.81,0.0,-0.8558190031213044
2019,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,6.17,0.0,281.03,0.0,13.41,-172.58,0.0,1.6703557770309418
2020,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,4.63,0.0,117.93,0.0,29.98,-402.0,0.0,0.3564179104477612
2021,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,0.0,0.0,167.86,0.0,27.49,-118.72,0.0,1.6454683288409706
2022,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,0.0,0.0,191.94,0.0,35.82,-159.15,0.0,1.4311027332704995
2023,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,1.46,0.0,140.72,0.0,36.28,-124.63,0.0,1.4084891278183422
2024,ENSU.OL,Ensurge Micropower ASA,Semiconductors & Semiconductor Equipment,Information Technology,0.66,0.0,110.98,0.0,24.98,-39.45,0.0,3.4296577946768063
