Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,4448.62,1491.13,87.17,87.17,0.0,1716.24,0.0,1.723238008670116
2005,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,4240.94,1355.2,117.47,101.92,123.51,3935.0,0.0,0.6980127064803048
2006,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,5609.09,1633.3,1335.7,105.29,481.2,4661.88,0.0,0.48567959707242575
2007,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,5640.79,1632.09,1470.0,153.41,506.18,3406.88,0.0,0.6416222467477574
2008,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,5721.2,1655.03,1628.53,152.25,602.14,1953.63,15.12,1.009650793650794
2009,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,5458.96,1660.82,190.94,190.94,395.86,4945.29,2.43,0.6876460268568149
2010,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,4500.55,1328.58,1523.4199999999998,180.56,381.28,3009.9,0.0,0.48102262533639
2011,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,3752.76,1020.89,1361.18,280.7,337.71000000000004,2627.42,0.0,0.49998858195492163
2012,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,3448.85,824.18,1380.23,281.03,260.4,3032.92,0.0,0.4171128813156958
2013,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,3245.46,789.7,1256.3,233.75,172.39,3390.95,64.09,0.3649219690654812
2014,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,2760.34,661.38,189.23,189.23,0.0,1664.92,57.51,1.2186039490719507
2015,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,2332.9,525.86,1054.58,216.08,148.2,1171.1,40.82,0.67689286421546
2016,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,1931.51,432.06,869.03,211.12,147.29000000000002,403.98,39.83,1.5642955318717469
2017,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,1596.8,398.96,775.64,221.75,148.15,1006.65,39.03,0.4741412286741641
2018,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,1304.5,373.65,583.42,134.85,97.39,349.36,38.06,0.9934696195343558
2019,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,986.42,374.09,392.71,96.78,81.88999999999999,-293.49,37.51,-0.9161262598640518
2020,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,902.71,340.82,345.93,74.71,56.29,177.51,36.55,1.0949266560777355
2021,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,829.83,99.22,617.36,0.0,7.02,78.92,12.67,1.1598427775958073
2022,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,883.63,94.06,705.01,0.0,13.3,287.09,0.94,0.24740478422386541
2023,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,955.47,96.54,793.23,0.0,14.94,270.82,1.01,0.1867343560313433
2024,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,967.16,109.84,735.29,0.0,14.23,290.95,1.03,0.36920337009384196
