Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
1995,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,1185.6,594.14,0.0,0.0,0.0,3632.04,0.0,0.1628451228510699
2004,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,1703.1,470.74,0.0,0.0,0.0,7339.02,0.0,0.16791887745230288
2005,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,1647.14,444.83,0.0,0.0,0.0,7591.47,0.0,0.1583764409264609
2006,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,1752.51,493.39,0.0,0.0,0.0,9272.76,0.0,0.13578697173225662
2007,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,1957.98,537.38,0.0,0.0,0.0,9422.55,0.0,0.15076598160795113
2008,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,2139.14,569.64,0.0,0.0,0.0,8935.83,0.0,0.175641210721332
2009,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,2217.16,630.42,0.0,0.0,0.0,7841.91,0.0,0.20234101130974466
2010,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,2317.04,790.2599999999999,36.95,0.0,0.0,9615.37,0.0,0.15494255551268438
2011,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,2521.13,845.5600000000001,41.46,0.0,0.0,9720.93,0.0,0.16810222890196722
2012,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,2641.0,874.88,44.69,0.0,0.0,10328.01,0.0,0.16667586495365513
2013,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,2932.28,973.82,86.64,0.0,0.0,12371.61,0.0,0.15129962874678396
2014,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,3047.85,981.97,97.37,0.0,609.94,13082.59,0.0,0.10384564524302911
2015,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,3154.19,1001.04,106.12,0.0,0.0,16502.22,0.0,0.12404573445269788
2016,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,4451.21,1446.42,138.46,0.0,819.93,27725.04,-1.9,0.07381559231746476
2017,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,5017.97,1531.9199999999998,152.03,0.0,860.86,33759.8,-2.0,0.07326188317959108
2018,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,4855.59,1506.78,138.6,0.0,802.55,38791.4,-1.95,0.06206997005629109
2019,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,4899.52,1497.31,141.45,0.0,729.58,41049.94,-1.88,0.061663815537202016
2020,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,5565.7,1585.37,139.19,0.0,810.6,50377.46,-2.09,0.06015916111385385
2021,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,5735.63,1817.0,163.36,0.0,848.87,80810.57,675.18,0.035667586050321685
2022,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,7352.22,2935.95,248.94,0.0,1491.73,74343.95,0.0,0.03598947863276031
2023,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,8483.74,3224.6899999999996,393.14,0.0,2248.33,77699.08,0.0,0.03368868717621882
2024,CAST.ST,Castellum AB,Real Estate Operations,Real Estate,8757.37,3115.07,243.07,0.0,2205.87,81398.44,0.0,0.03923121868183225
