Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2003,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,47395.86,42537.83,4385.83,0.0,0.0,17190.95,0.0
2004,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,42857.55,36490.0,2886.74,0.0,0.0,20322.81,0.0
2005,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,40175.0,39622.36,0.0,0.0,0.0,16343.96,0.0
2006,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,49502.28,43147.58,0.0,0.0,0.0,25118.4,0.0
2007,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,55379.18,48930.42,1906.5900000000001,0.0,0.0,26457.94,0.0
2008,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,45081.27,45723.64,0.0,0.0,0.0,27124.54,0.0
2009,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,23048.55,24401.27,2303.98,0.0,0.0,20328.16,0.0
2010,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,33844.66,32420.12,2232.83,0.0,0.0,18200.18,0.0
2011,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,39030.89,38017.91,2283.1,0.0,-163.64,15751.92,0.0
2012,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,33915.85,32069.84,2212.23,0.0,0.0,21476.33,0.0
2013,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,52669.0,51005.77,3115.63,195.21,0.0,15733.99,0.0
2014,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,57192.55,53565.79,2949.8799999999997,183.85,0.0,19270.92,0.0
2015,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,57102.72,53533.8,3050.13,196.78,-1162.8,22358.46,0.0
2016,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,52849.67,47221.04,3074.37,185.76,-984.55,21937.54,0.0
2017,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,59302.92,52501.18,2864.38,0.0,0.0,26788.6,0.0
2018,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,65981.19,59567.42,2621.19,134.42,-576.09,27246.11,0.0
2019,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,63036.9,57996.31,2864.87,157.52,-758.0500000000001,25211.6,0.0
2020,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,60468.23,55439.04,3045.39,214.46,-836.41,24723.8,0.0
2021,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,73601.05,61681.4,2581.07,0.0,-650.3499999999999,31235.82,0.0
2022,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,95830.21,79851.78,3139.16,141.31,-444.13,43184.7,0.0
2023,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,79406.96,71193.63,3946.9700000000003,148.3,-684.4399999999999,42078.12,0.0
2024,OUT1V.HE,HEX,Outokumpu Oyj,Metals & Mining,Materials,69043.7,63896.21,3776.37,162.67,-755.2700000000001,44090.77,0.0
