Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2012,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,68.62,30.5,2.48,0.0,8.54,606.01,0.0,0.0447187340142902,30.5,0.0,
2013,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,179.06,55.51,5.96,0.0,12.18,2142.01,0.0,0.0492107879981886,55.51,0.0,
2014,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,749.32,372.19,51.940000000000005,0.0,49.51,2635.51,0.0,0.1046021453153279,140.12,0.0,
2015,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,1712.65,586.99,108.16,0.0,123.16,3563.84,0.0,0.2509484151926012,273.36,0.0,
2016,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,1634.78,687.52,105.47,0.0,164.17,3409.04,0.0,0.1987715016544247,376.64,0.0,
2017,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,2863.92,933.62,1156.66,0.0,217.08,3264.9,0.0,0.1704677019204263,447.87,0.0,
2018,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,2998.91,934.64,1360.44,0.0,256.45,4933.38,0.0,0.0906842773108902,462.91,0.0,
2019,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,7283.53,1934.45,3038.01,0.0,589.53,9818.68,0.0,0.1753331405036114,1156.99,0.0,10107.67
2020,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,8226.01,2491.31,2728.13,0.0,441.79,9847.76,0.0,0.2604429839882369,1472.27,0.0,5901.69
2021,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,6972.15,2144.06,3878.44,0.0,335.23,9793.16,0.0,0.0627397081228122,1303.63,0.0,6434.85
2022,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,18509.2,8942.859999999999,571.87,0.0,875.18,19681.21,0.0,0.4125401842671259,2010.06,0.0,25370.79
2023,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,28190.13,17616.14,734.07,0.0,816.52,22578.21,0.0,0.3996508137713309,2226.62,0.0,35819.67
2024,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,30820.14,20056.19,853.55,0.0,562.71,25714.96,0.0,0.3635117456920019,2311.11,0.0,31138.23
