Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2015,TRANS.ST,Transtema Group AB,Telecommunications Services,Communication Services,64.76,29.87,24.21,0.0,0.0,30.45,0.28,0.3475431174747803,0.0,1.66,149.53
2016,TRANS.ST,Transtema Group AB,Telecommunications Services,Communication Services,424.68,282.8,105.15,0.0,1.1,97.53,0.88,0.3620567015547201,0.0,5.94,430.2
2017,TRANS.ST,Transtema Group AB,Telecommunications Services,Communication Services,939.16,639.22,282.53000000000003,0.0,5.3,251.69,0.44,0.0480307777733705,0.0,16.93,788.79
2018,TRANS.ST,Transtema Group AB,Telecommunications Services,Communication Services,812.99,427.73,401.67,0.0,3.46,314.98,0.36,-0.0630113528255217,0.0,43.75,379.5
2019,TRANS.ST,Transtema Group AB,Telecommunications Services,Communication Services,1393.3,604.94,789.0,0.0,9.25,97.23,0.66,-0.1010317703544805,0.0,99.43,161.78
2020,TRANS.ST,Transtema Group AB,Telecommunications Services,Communication Services,1437.83,593.51,812.68,0.0,10.91,166.57,0.57,0.1240277611583103,0.0,92.37,438.39
2021,TRANS.ST,Transtema Group AB,Telecommunications Services,Communication Services,1693.69,579.55,992.36,0.0,9.34,243.98,0.91,0.4591449222099721,0.0,78.16,1774.34
2022,TRANS.ST,Transtema Group AB,Telecommunications Services,Communication Services,2334.93,1116.88,1180.4,0.0,24.43,364.88,1.09,0.036123179495586,0.0,195.64,1108.86
2023,TRANS.ST,Transtema Group AB,Telecommunications Services,Communication Services,2675.98,1278.49,1343.25,0.0,47.38,561.96,0.51,0.0121962060198766,0.0,131.89,634.62
2024,TRANS.ST,Transtema Group AB,Telecommunications Services,Communication Services,2531.02,1172.66,1320.47,0.0,40.58,572.11,0.0,-0.0047018929926065,0.0,123.06,664.13
