Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2004,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,4627.14,1449.22,1994.78,597.43,-24.270000000000003,2441.7,0.0
2005,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,4690.29,1512.97,2024.77,641.55,0.0,3167.39,0.0
2006,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,5156.96,1650.61,2034.3,676.49,0.0,3646.86,0.0
2007,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,5447.4,1756.78,2248.65,789.07,-9.610000000000001,3418.84,0.0
2008,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,5852.99,2004.53,2350.42,741.2,-70.0,4063.83,0.0
2009,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,6733.04,2314.46,2665.29,830.83,-73.31,3641.82,0.0
2010,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,6801.74,2266.45,2320.87,633.84,-21.61,3640.04,0.0
2011,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,7152.42,2377.39,2594.0,681.81,-19.48,3671.84,0.0
2012,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,7327.26,2621.79,2672.61,790.72,-26.16,3739.64,0.0
2013,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,7862.48,3072.68,2743.1600000000003,795.7,-35.13,4284.95,0.0
2014,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,8484.45,3356.84,2865.4800000000005,887.47,-48.47,4654.13,0.0
2015,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,9084.2,3629.74,3083.2200000000003,966.92,-49.19,5711.06,0.0
2016,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,9970.85,3916.82,3358.6,1097.86,-44.589999999999996,5823.98,0.0
2017,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,9643.72,3896.3,3142.4300000000003,924.63,-57.85,6691.74,0.0
2018,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,9385.42,3724.4,3286.57,998.55,-44.17,7659.62,0.0
2019,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,10346.99,4111.23,3768.6400000000003,1174.5,-26.580000000000002,7669.76,0.0
2020,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,11560.7,4578.81,4036.22,1321.1,-12.870000000000001,7661.23,0.0
2021,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,10578.31,4547.35,3623.6499999999996,1196.03,-13.21,7487.59,0.0
2022,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,13531.7,4963.1,4187.9,1370.73,-18.17,9520.76,0.0
2023,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,13571.39,6067.6,4865.26,1447.6,-65.02,9955.8,0.0
2024,ORNAV.HE,HEX,Orion Oyj,Pharmaceuticals,Health Care,17922.08,6925.29,6267.61,2086.88,-97.61,11825.79,0.0
