Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2014,QTCOM.HE,HEX,Qt Group Oyj,Software & IT Services,Information Technology,170.52,3.95,168.03,0.0,0.37,70.68,0.0,-0.025891341256366433,0.0,0.0
2015,QTCOM.HE,HEX,Qt Group Oyj,Software & IT Services,Information Technology,240.92,6.59,209.38,0.0,0.45,85.62,0.0,0.2861480962391963,0.0,0.0
2016,QTCOM.HE,HEX,Qt Group Oyj,Software & IT Services,Information Technology,300.89,21.48,292.38,0.0,5.21,75.05,0.0,-0.24223850766155935,0.0,0.0
2017,QTCOM.HE,HEX,Qt Group Oyj,Software & IT Services,Information Technology,338.3,10.54,359.67,0.0,9.78,199.93,0.0,-0.20852298304406555,0.0,0.0
2018,QTCOM.HE,HEX,Qt Group Oyj,Software & IT Services,Information Technology,437.73,16.6,444.69000000000005,0.0,15.53,181.49,0.0,-0.21538376770070009,0.0,0.0
2019,QTCOM.HE,HEX,Qt Group Oyj,Software & IT Services,Information Technology,574.68,30.22,554.9100000000001,0.0,1.5699999999999998,166.7,0.0,-0.07210557888422411,0.0,25.33
2020,QTCOM.HE,HEX,Qt Group Oyj,Software & IT Services,Information Technology,852.01,48.08,626.4100000000001,0.0,1.56,313.01,0.0,0.5621545637519564,0.0,26.069999999999997
2021,QTCOM.HE,HEX,Qt Group Oyj,Software & IT Services,Information Technology,1230.98,65.39,877.12,0.0,6.05,516.29,0.0,0.5470181487148694,0.0,45.88
2022,QTCOM.HE,HEX,Qt Group Oyj,Software & IT Services,Information Technology,1567.74,69.8,1126.4399999999998,0.0,9.51,909.27,0.0,0.3981105722172735,0.0,84.60000000000001
2023,QTCOM.HE,HEX,Qt Group Oyj,Software & IT Services,Information Technology,2061.81,51.84,1473.91,0.0,22.33,1368.52,0.0,0.3753909332709788,0.0,127.66
2024,QTCOM.HE,HEX,Qt Group Oyj,Software & IT Services,Information Technology,2429.23,45.55,1649.9,0.0,13.31,2099.61,0.0,0.34314467924995584,0.0,133.11
