Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2004,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,7138.94,5509.29,1288.46,0.0,5.87,479.82,962.95,0.232414036887376,0.0,73.77,454.93
2005,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,7294.13,5657.82,1277.5,0.0,1.6,1556.15,0.0,0.2295472801465156,0.0,58.47,904.47
2006,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,8643.19,6678.06,1443.88,0.0,0.0,1615.34,0.0,0.3226874837495513,0.0,64.35,4873.7
2007,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,10952.47,8593.27,1775.22,0.0,2.4,1815.66,0.0,0.3203132745117472,0.0,113.76,3758.84
2008,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,12355.76,9787.1,2065.48,0.0,2.47,1976.58,0.0,0.2533213935180968,0.0,130.95,1582.43
2009,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,12492.12,9909.74,2288.28,0.0,3.49,2134.0,0.0,0.136180880974696,0.0,162.33,2585.69
2010,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,11216.19,8816.9,2040.76,0.0,0.0,2218.76,0.0,0.1615902576213745,0.0,152.05,3031.96
2011,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,11940.69,9400.45,2297.13,0.0,1.56,2190.26,0.0,0.1102837106096991,0.0,190.91000000000005,1637.62
2012,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,12248.72,9658.32,2347.5,0.0,0.0,2167.45,0.0,0.1120671757133957,0.0,150.22,1737.64
2013,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,10958.36,8568.32,2194.19,0.0,51.32,2390.21,0.0,0.0604674903041995,0.0,153.95999999999998,2585.33
2014,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,11495.08,9063.08,2484.7000000000003,0.0,52.7,2102.7,0.0,-0.0501260284396253,0.0,336.38,2405.42
2015,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,12698.0,10060.53,2314.84,0.0,62.370000000000005,2355.38,0.0,0.1104959709261347,0.0,135.53,3820.97
2016,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,13001.68,10262.84,2403.1800000000003,0.0,51.150000000000006,2057.83,0.0,0.1382572904467326,0.0,139.74,3020.95
2017,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,13876.73,11010.05,2625.8,0.0,35.13,2104.63,0.0,0.0977606515159436,0.0,233.35,3601.8
2018,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,14299.33,11404.16,2588.52,0.0,68.28999999999999,2173.37,0.0,0.1096729963144794,0.0,199.71,2501.46
2019,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,15402.35,12299.2,2748.4,0.0,54.07000000000001,2097.75,0.0,0.1433345250864018,0.0,366.63,2481.21
2020,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,16496.87,13036.34,3082.1,0.0,67.62,2387.91,0.0,0.1301598468954018,0.0,559.73,3192.11
2021,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,16884.11,13094.27,2853.66,0.0,68.33,2628.34,0.0,0.330189397109963,0.0,326.64,6917.6
2022,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,18814.88,14410.76,3132.42,0.0,58.36,2723.17,0.0,0.4455616065100602,0.0,361.02,6437.19
2023,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,19956.43,15469.26,3606.59,0.0,162.34,2899.09,75.03,0.2414966443855662,0.0,479.35,5135.53
2024,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,19046.07,15117.81,3610.38,0.0,177.63,2884.74,72.59,0.047424534969043,0.0,573.42,3478.61
