Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2006,SAGCV.HE,HEX,Saga Furs Oyj,Textiles & Apparel,Other,335.33,0.0,135.3,0.0,19.67,481.75,0.0,0.3743850544888427
2007,SAGCV.HE,HEX,Saga Furs Oyj,Textiles & Apparel,Other,284.27,0.0,225.45,0.0,22.07,452.05,0.0,0.08129631677911733
2008,SAGCV.HE,HEX,Saga Furs Oyj,Textiles & Apparel,Other,297.82,0.0,139.79,0.0,22.05,444.51,0.0,0.3059098782929518
2009,SAGCV.HE,HEX,Saga Furs Oyj,Textiles & Apparel,Other,278.01,0.0,227.51,0.0,23.76,444.56,0.0,0.06014936116609681
2010,SAGCV.HE,HEX,Saga Furs Oyj,Textiles & Apparel,Other,371.44,0.0,224.41000000000005,0.0,8.67,457.87,0.0,0.30218184200755666
2011,SAGCV.HE,HEX,Saga Furs Oyj,Textiles & Apparel,Other,435.26,19.2,274.81,0.0,0.0,519.2,0.0,0.27205315870570107
2012,SAGCV.HE,HEX,Saga Furs Oyj,Textiles & Apparel,Other,458.85,0.0,161.49,0.0,6.55,577.39,0.0,0.5036630353833631
2013,SAGCV.HE,HEX,Saga Furs Oyj,Textiles & Apparel,Other,597.34,41.31,338.26,0.0,5.24,769.7,0.0,0.2761205664544627
2014,SAGCV.HE,HEX,Saga Furs Oyj,Textiles & Apparel,Other,412.36,37.48,378.71,0.0,5.89,760.45,0.0,-0.012781905450719947
2015,SAGCV.HE,HEX,Saga Furs Oyj,Textiles & Apparel,Other,517.28,39.32,438.14,0.0,9.02,886.47,0.0,0.034744548602885596
2016,SAGCV.HE,HEX,Saga Furs Oyj,Textiles & Apparel,Other,401.74,32.97,391.32,0.0,12.86,802.29,0.0,-0.044136160241309265
2017,SAGCV.HE,HEX,Saga Furs Oyj,Textiles & Apparel,Other,486.06,20.43,377.61,0.0,11.01,893.77,0.0,0.0861631068395672
2018,SAGCV.HE,HEX,Saga Furs Oyj,Textiles & Apparel,Other,439.22,26.83,420.29,0.0,8.4,848.35,0.0,-0.019213767902398746
2019,SAGCV.HE,HEX,Saga Furs Oyj,Textiles & Apparel,Other,437.36,23.35,407.36,0.0,7.75,883.67,0.0,-0.0012448085823893794
2020,SAGCV.HE,HEX,Saga Furs Oyj,Textiles & Apparel,Other,299.34,14.79,374.06,0.0,21.44,864.4,0.0,-0.12835492827394732
2021,SAGCV.HE,HEX,Saga Furs Oyj,Textiles & Apparel,Other,522.93,20.93,358.1,0.0,11.13,879.47,0.0,0.15096592265796435
2022,SAGCV.HE,HEX,Saga Furs Oyj,Textiles & Apparel,Other,389.31,11.53,369.54,0.0,4.25,870.96,0.0,0.004581151832460743
2023,SAGCV.HE,HEX,Saga Furs Oyj,Textiles & Apparel,Other,521.97,23.7,428.77,0.0,7.36,1049.65,0.0,0.05920068594293341
2024,SAGCV.HE,HEX,Saga Furs Oyj,Textiles & Apparel,Other,476.51,35.51,403.62,0.0,7.89,1062.25,0.0,0.027761826312073423
