Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2004,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,1425.32,599.17,747.34,0.0,0.0,560.56,0.0
2005,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,1514.7,0.0,1411.0,0.0,0.0,584.4,0.0
2006,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,1632.61,755.96,818.44,0.0,0.0,587.29,0.0
2007,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,1833.71,923.11,860.97,0.0,0.0,589.33,0.0
2008,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,1747.91,794.93,848.8800000000001,0.0,0.0,579.34,0.0
2009,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,1709.42,806.83,777.64,0.0,0.0,617.06,0.0
2010,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,1621.84,756.03,765.6800000000001,0.0,0.0,594.22,0.0
2011,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,1709.11,829.89,761.29,0.0,0.0,570.61,0.0
2012,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,1871.91,909.71,817.27,0.0,0.0,586.3,0.0
2013,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,1638.19,741.07,795.81,0.0,0.0,625.64,0.0
2014,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,1677.28,769.11,809.85,0.0,0.0,593.33,0.0
2015,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,1812.55,826.65,836.3,0.0,0.0,653.69,0.0
2016,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,1814.6,821.89,842.48,0.0,0.0,704.55,0.0
2017,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,1848.2,843.12,848.37,0.0,0.0,757.39,0.0
2018,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,1965.15,857.68,958.46,0.0,0.0,798.05,0.0
2019,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,2024.9,893.24,855.19,0.0,-23.89,823.21,0.0
2020,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,2343.85,1099.45,914.1099999999999,0.0,-17.02,897.87,0.0
2021,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,2521.09,1095.76,1132.97,0.0,-16.689999999999998,957.96,0.0
2022,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,2677.91,1086.28,1263.88,0.0,-20.15,926.22,0.0
2023,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,2686.34,1115.04,1304.85,0.0,-23.21,880.84,16.3
2024,GYL.OL,OBX,Gyldendal ASA,Media & Publishing,Communication Services,2731.31,1124.87,1271.01,0.0,-26.66,922.74,7.43
