Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2010,MEREN.ST,Meren Energy Inc,Oil & Gas,Energy,0.0,0.0,0.0,0.0,0.0,646.53,0.0,0.0
2011,MEREN.ST,Meren Energy Inc,Oil & Gas,Energy,0.0,0.0,0.0,0.0,13.85,1432.3,216.93,-0.008397858394523505
2012,MEREN.ST,Meren Energy Inc,Oil & Gas,Energy,0.0,0.0,0.0,0.0,0.95,2629.08,264.53,-0.00032830962016304894
2013,MEREN.ST,Meren Energy Inc,Oil & Gas,Energy,0.0,0.0,0.0,0.0,54.13,5344.86,295.87,-0.00959627565935615
2014,MEREN.ST,Meren Energy Inc,Oil & Gas,Energy,0.0,0.0,0.0,0.0,1.9,5955.53,0.0,-0.0003190312197235175
2015,MEREN.ST,Meren Energy Inc,Oil & Gas,Energy,0.0,0.0,0.0,0.0,3.86,8768.01,0.0,-0.0004402367241825682
2016,MEREN.ST,Meren Energy Inc,Oil & Gas,Energy,0.0,0.0,0.0,0.0,0.98,8442.16,0.0,-0.00011608403536535673
2017,MEREN.ST,Meren Energy Inc,Oil & Gas,Energy,0.0,0.0,0.0,0.0,0.49,7989.14,0.0,-6.133325990031468e-05
2018,MEREN.ST,Meren Energy Inc,Oil & Gas,Energy,0.0,0.0,0.0,0.0,1.08,7965.57,0.0,-0.00013558351756371486
2019,MEREN.ST,Meren Energy Inc,Oil & Gas,Energy,0.0,0.0,0.0,0.0,1.24,6730.43,0.0,-0.00018423785701656505
2020,MEREN.ST,Meren Energy Inc,Oil & Gas,Energy,0.0,0.0,0.0,0.0,276.2,6470.2,0.0,-0.04268801582640413
2021,MEREN.ST,Meren Energy Inc,Oil & Gas,Energy,0.0,0.0,0.0,0.0,157.08,8349.26,0.0,-0.018813643364801194
2022,MEREN.ST,Meren Energy Inc,Oil & Gas,Energy,0.0,0.0,0.0,0.0,33.63,8136.97,0.0,-0.004132988077871738
2023,MEREN.ST,Meren Energy Inc,Oil & Gas,Energy,0.0,0.0,336.59,0.0,80.19,9066.86,0.0,-0.045967402165689106
2024,MEREN.ST,Meren Energy Inc,Oil & Gas,Energy,0.0,0.0,348.1,0.0,52.64,6237.5,0.0,-0.06424689378757516
