Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,108.13,54.74,0.0,5.5,2.07,34.11,0.0,1.6657871591908529
2005,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,146.1,85.47,0.0,5.4,2.24,37.74,0.0,1.6902490726020136
2006,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,355.96,222.98,0.0,4.6,2.31,290.63,0.0,0.4654371537693975
2007,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,860.82,536.55,0.0,8.9,7.6,336.44,0.0,0.9676911187730355
2008,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,866.53,505.52,0.0,16.8,12.24,309.6,0.0,1.18078165374677
2009,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,599.35,329.16,0.0,18.8,10.2,256.64,0.0,1.0863076683291772
2010,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,742.52,462.02,0.0,23.2,12.84,227.56,0.0,1.2781683951485323
2011,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,893.55,567.16,0.0,20.7,12.4,323.77,0.0,1.0337276461685765
2012,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,831.53,473.29,0.0,18.2,9.58,325.27,0.0,1.1278630061179942
2013,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,918.67,556.6,85.83,0.0,8.22,336.6,2.26,0.7909461134391782
2014,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,1246.06,759.89,102.86,0.0,7.02,387.58,1.68,0.9666803678775111
2015,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,1420.71,837.75,162.49,0.0,7.75,424.99,3.44,0.9633312326401046
2016,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,1595.39,912.87,180.62,0.0,10.81,434.59,0.38,1.1290203922109574
2017,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,2073.24,1196.27,229.06,0.0,14.18,499.91,0.52,1.266370921007933
2018,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,2566.76,1516.68,282.71000000000004,0.0,17.75,1062.42,0.18,0.7054583098061359
2019,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,3050.51,1861.35,250.39,0.0,47.2,986.34,4.17,0.9001120634824488
2020,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,3159.45,1906.98,216.21,0.0,46.08,1041.54,0.16,0.9505423826437551
2021,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,3111.57,1872.52,272.37,0.0,41.3,1296.89,0.14,0.7134607526425758
2022,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,3320.33,2106.72,337.49,0.0,56.15,1144.0,0.34,0.716544034115735
2023,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,3415.0,1996.25,218.75,0.0,95.25,1142.45,10.23,0.9584186417739529
2024,AKVA.OL,Akva Group ASA,Food & Tobacco,Consumer Staples,3517.54,1934.0,238.68,0.0,102.95,1305.98,7.25,0.9456911584414001
