Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2015,NSKOG.OL,Norske Skog ASA,Paper & Forest Products,Materials,11130.0,6530.0,4536.0,1.0,564.0,4729.0,0.0,-0.1055191372383167,0.0,754.0,
2016,NSKOG.OL,Norske Skog ASA,Paper & Forest Products,Materials,11852.0,6857.0,4572.0,1.0,535.0,2090.0,0.0,-0.0531100478468899,0.0,674.0,
2017,NSKOG.OL,Norske Skog ASA,Paper & Forest Products,Materials,11527.0,6915.0,4518.0,0.0,770.0,-1427.0,0.0,0.4737210932025227,0.0,608.0,
2018,NSKOG.OL,Norske Skog ASA,Paper & Forest Products,Materials,12641.0,7520.0,4536.0,0.0,804.0,2365.0,0.0,-0.0926004228329809,0.0,446.0,
2019,NSKOG.OL,Norske Skog ASA,Paper & Forest Products,Materials,12200.0,6861.0,4439.0,0.0,201.0,5492.0,0.0,0.1272760378732702,0.0,282.0,3605.25
2020,NSKOG.OL,Norske Skog ASA,Paper & Forest Products,Materials,9173.0,5093.0,4221.0,0.0,170.0,3218.0,0.0,-0.0966438781852082,0.0,437.0,3192.75
2021,NSKOG.OL,Norske Skog ASA,Paper & Forest Products,Materials,9848.0,6055.0,4030.0,0.0,200.0,3133.0,0.0,-0.1394829237152888,0.0,433.0,3619.76
2022,NSKOG.OL,Norske Skog ASA,Paper & Forest Products,Materials,14537.0,7937.0,4718.0,0.0,190.0,5909.0,0.0,0.2863428668133356,0.0,546.0,6339.3
2023,NSKOG.OL,Norske Skog ASA,Paper & Forest Products,Materials,9891.0,5863.0,4145.0,0.0,297.0,6160.0,0.0,-0.0672077922077922,0.0,513.0,3902.56
2024,NSKOG.OL,Norske Skog ASA,Paper & Forest Products,Materials,9233.0,5927.0,4027.0,0.0,351.0,5384.0,0.0,-0.1991084695393759,0.0,517.0,2078.54
