PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
Q5,CAPM,Method2_LatentQuality minus Method1_ObservedQuality,0.0025260593579988777,0.00021050494649990648,0.06989368068323203,0.9443156385276774
Q5,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0010051460213676283,-8.376216844730236e-05,-0.027568118091704667,0.9780213140482412
Q5,CAPM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-7.678057821844386e-05,-6.398381518203655e-06,-0.0021101406944614913,0.9983174776269386
Q5,FF3,Method2_LatentQuality minus Method1_ObservedQuality,0.0029010366630208145,0.00024175305525173454,0.1472420635861448,0.8830211592759944
Q5,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0008279692429810637,-6.899743691508864e-05,-0.04154422328702958,0.9668844468327267
Q5,FF3,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-2.9940714728296514e-05,-2.495059560691376e-06,-0.0015116734172132822,0.9987946742635303
Q5,FF3+MOM,Method2_LatentQuality minus Method1_ObservedQuality,0.002232799005415065,0.00018606658378458873,0.1085291092130306,0.9136351413819552
Q5,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0020331419829317243,-0.0001694284985776437,-0.09820001413040154,0.9218269361415963
Q5,FF3+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0005349321933368484,-4.45776827780707e-05,-0.02603895809471526,0.9792403790648379
Q5,FF5,Method2_LatentQuality minus Method1_ObservedQuality,0.0030914321024760744,0.0002576193418730062,0.17120416617294923,0.8641578430604242
Q5,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0009069035911035139,-7.557529925862616e-05,-0.04965129879547433,0.9604273505914431
Q5,FF5,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0003086050010974728,-2.57170834247894e-05,-0.01666400042997744,0.9867137467458456
Q5,FF5+MOM,Method2_LatentQuality minus Method1_ObservedQuality,0.0026742094306490133,0.00022285078588741777,0.14239554267385846,0.8868463669729958
Q5,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0019036212038830436,-0.00015863510032358696,-0.10047362969657844,0.9200236332610976
Q5,FF5+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0007316808670505409,-6.0973405587545076e-05,-0.03824188713256826,0.9695157887407331
