PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs
LongShort,CAPM,Method1_ObservedQuality,0.08128836447617198,0.0067740303730143316,1.787929763313793,0.07540656012315972,0.015111840946580357,189
LongShort,FF3,Method1_ObservedQuality,0.09739285151065655,0.008116070959221379,2.3835520388978297,0.018158791991750967,0.31937179651096526,189
LongShort,FF3+MOM,Method1_ObservedQuality,0.05593339001039398,0.004661115834199498,1.20368142717127,0.2302590071323043,0.33957066924844914,189
LongShort,FF5,Method1_ObservedQuality,0.057242897140539525,0.0047702414283782935,1.7605882798148402,0.0799785437053,0.5809852631180883,189
LongShort,FF5+MOM,Method1_ObservedQuality,0.03336969329575484,0.002780807774646237,0.9040248308083212,0.36717728285129003,0.5879827195274658,189
LongShort,CAPM,Method2_LatentQuality,0.06082092194855647,0.005068410162379706,1.25691989253623,0.2103503311767394,0.006884099119822462,189
LongShort,FF3,Method2_LatentQuality,0.07661004929922142,0.0063841707749351185,1.8148467979000165,0.07116711312419555,0.31288198860726046,189
LongShort,FF3+MOM,Method2_LatentQuality,0.04882341188353566,0.004068617656961305,1.0172081620200606,0.31039006384086165,0.32221690795988167,189
LongShort,FF5,Method2_LatentQuality,0.03771210177868669,0.0031426751482238908,1.111914402129338,0.2676335712067619,0.5753189341013925,189
LongShort,FF5+MOM,Method2_LatentQuality,0.027116887104433073,0.0022597405920360895,0.7107131572581045,0.4781717698595873,0.5767370021548338,189
LongShort,CAPM,Method3_ConservativeQuality,0.09314272694715521,0.007761893912262934,2.021063119218608,0.04469917116454214,0.012650505631014108,189
LongShort,FF3,Method3_ConservativeQuality,0.1089466176392942,0.009078884803274517,2.669620863868997,0.008269268446199574,0.3403134192689268,189
LongShort,FF3+MOM,Method3_ConservativeQuality,0.06096353751844623,0.005080294793203852,1.2711862428998286,0.20526702939574681,0.3667085031238124,189
LongShort,FF5,Method3_ConservativeQuality,0.06732219884889462,0.005610183237407885,2.076961389371127,0.03920183400167199,0.5955883570043099,189
LongShort,FF5+MOM,Method3_ConservativeQuality,0.03695901320734664,0.0030799177672788864,0.9740381947308906,0.33133038746912713,0.6066311883765352,189
LongShort,CAPM,Method4_ProbabilisticQuality,0.08704547757376241,0.007253789797813534,1.8730163785205793,0.06262662657172502,0.014800894502934314,189
LongShort,FF3,Method4_ProbabilisticQuality,0.10301794560900907,0.008584828800750755,2.4574880751718977,0.014912546173171615,0.31527384673547343,189
LongShort,FF3+MOM,Method4_ProbabilisticQuality,0.05817597208575496,0.004847997673812913,1.2124918178066915,0.22687867085724633,0.33845926176550567,189
LongShort,FF5,Method4_ProbabilisticQuality,0.06278970508868165,0.005232475424056804,1.8642418392577436,0.06388929807672894,0.5774811581024188,189
LongShort,FF5+MOM,Method4_ProbabilisticQuality,0.035778014589880225,0.002981501215823352,0.9418512222323683,0.3475172964432349,0.5862711391425603,189
