Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2015,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,20.33,0.0,8.69,13.52,0.44,95.06,0.0,0.2600462865558594
2016,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,24.32,0.0,13.31,11.55,0.0,115.54,0.0,0.19525705383417
2017,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,27.84,0.0,16.53,16.55,0.01,196.48,0.0,0.14174470684039087
2018,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,39.91,0.0,54.79,13.89,0.0,245.87,0.0,-0.004026518078659462
2019,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,47.95,0.0,62.56999999999999,19.21,0.36,208.24,0.0,0.020313100268920525
2020,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,63.33,0.0,57.49000000000001,23.89,0.55,194.58,0.0,0.1499640250796587
2021,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,83.12,0.0,71.11,24.42,1.38,174.77,0.0,0.2005492933569835
2022,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,101.64,0.0,72.28,22.82,1.25,154.17,0.0,0.33034961406239866
2023,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,135.15,0.0,28.01,25.01,0.79,146.64,0.0,0.8957992362247683
2024,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,152.07,69.25,49.78,72.77,0.66,194.05,0.0,0.5418706518938418
