Date,Method,PortfolioStrategy,Return
2010-01-31,Method1_ObservedQuality,Q5,0.030265510286001197
2010-02-28,Method1_ObservedQuality,Q5,-0.0021207729559168456
2010-03-31,Method1_ObservedQuality,Q5,0.06614820325987676
2010-04-30,Method1_ObservedQuality,Q5,-0.026991040727375636
2010-05-31,Method1_ObservedQuality,Q5,-0.040064613752470446
2010-06-30,Method1_ObservedQuality,Q5,0.012289000500779074
2010-07-31,Method1_ObservedQuality,Q5,0.049282482191445424
2010-08-31,Method1_ObservedQuality,Q5,0.010119740430035096
2010-09-30,Method1_ObservedQuality,Q5,0.06485072569512039
2010-10-31,Method1_ObservedQuality,Q5,0.035269528180831275
2010-11-30,Method1_ObservedQuality,Q5,0.005347226085958915
2010-12-31,Method1_ObservedQuality,Q5,0.03589579115277818
2011-01-31,Method1_ObservedQuality,Q5,-0.007845425318767902
2011-02-28,Method1_ObservedQuality,Q5,-0.01820915941113737
2011-03-31,Method1_ObservedQuality,Q5,0.009310952138602849
2011-04-30,Method1_ObservedQuality,Q5,0.014329078227505346
2011-05-31,Method1_ObservedQuality,Q5,-0.007857152201136417
2011-06-30,Method1_ObservedQuality,Q5,-0.0316497851432726
2011-07-31,Method1_ObservedQuality,Q5,-0.040103138212807754
2011-08-31,Method1_ObservedQuality,Q5,-0.06736831876439225
2011-09-30,Method1_ObservedQuality,Q5,-0.037117891335857515
2011-10-31,Method1_ObservedQuality,Q5,0.0878224463619111
2011-11-30,Method1_ObservedQuality,Q5,0.017821935886006834
2011-12-31,Method1_ObservedQuality,Q5,0.008893338198459168
2012-01-31,Method1_ObservedQuality,Q5,0.03016464845866836
2012-02-29,Method1_ObservedQuality,Q5,0.03739636097253671
2012-03-31,Method1_ObservedQuality,Q5,-0.0018931941672490572
2012-04-30,Method1_ObservedQuality,Q5,0.004785141970518717
2012-05-31,Method1_ObservedQuality,Q5,-0.07894683165407344
2012-06-30,Method1_ObservedQuality,Q5,0.04544634413502518
2012-07-31,Method1_ObservedQuality,Q5,0.05956595847641486
2012-08-31,Method1_ObservedQuality,Q5,-0.027294301332453034
2012-09-30,Method1_ObservedQuality,Q5,0.014510411311657272
2012-10-31,Method1_ObservedQuality,Q5,-0.009682385585346513
2012-11-30,Method1_ObservedQuality,Q5,0.014883987881495335
2012-12-31,Method1_ObservedQuality,Q5,0.016900142031732325
2013-01-31,Method1_ObservedQuality,Q5,0.05080002292161854
2013-02-28,Method1_ObservedQuality,Q5,0.024483336137322606
2013-03-31,Method1_ObservedQuality,Q5,0.003491034291245732
2013-04-30,Method1_ObservedQuality,Q5,-0.0009373074145958898
2013-05-31,Method1_ObservedQuality,Q5,-0.007120621075471731
2013-06-30,Method1_ObservedQuality,Q5,-0.028814774237868192
2013-07-31,Method1_ObservedQuality,Q5,0.04422746341163048
2013-08-31,Method1_ObservedQuality,Q5,0.03372649473841424
2013-09-30,Method1_ObservedQuality,Q5,0.07230653508521123
2013-10-31,Method1_ObservedQuality,Q5,-0.0058681102383350775
2013-11-30,Method1_ObservedQuality,Q5,0.057749044531929666
2013-12-31,Method1_ObservedQuality,Q5,0.02304175365496968
2014-01-31,Method1_ObservedQuality,Q5,0.02058668418175287
2014-02-28,Method1_ObservedQuality,Q5,0.043806421198298785
2014-03-31,Method1_ObservedQuality,Q5,-0.007889466538655937
2014-04-30,Method1_ObservedQuality,Q5,0.020094066887042066
2014-05-31,Method1_ObservedQuality,Q5,-0.0007771051844778396
2014-06-30,Method1_ObservedQuality,Q5,0.04420846182939112
2014-07-31,Method1_ObservedQuality,Q5,-0.009902938435315999
2014-08-31,Method1_ObservedQuality,Q5,-0.012393862748162676
2014-09-30,Method1_ObservedQuality,Q5,0.01257846157507541
2014-10-31,Method1_ObservedQuality,Q5,0.0180937107812082
2014-11-30,Method1_ObservedQuality,Q5,0.029268708890194114
2014-12-31,Method1_ObservedQuality,Q5,0.02721469652767915
2015-01-31,Method1_ObservedQuality,Q5,0.053933311206809845
2015-02-28,Method1_ObservedQuality,Q5,0.040559082938622475
2015-03-31,Method1_ObservedQuality,Q5,0.03217429786643263
2015-04-30,Method1_ObservedQuality,Q5,-0.03683633768293334
2015-05-31,Method1_ObservedQuality,Q5,0.011317649169839964
2015-06-30,Method1_ObservedQuality,Q5,-0.03320844933766119
2015-07-31,Method1_ObservedQuality,Q5,0.0647958691748948
2015-08-31,Method1_ObservedQuality,Q5,-0.05737466316863884
2015-09-30,Method1_ObservedQuality,Q5,0.0014283206824599265
2015-10-31,Method1_ObservedQuality,Q5,0.059029132459527886
2015-11-30,Method1_ObservedQuality,Q5,0.04482921647851464
2015-12-31,Method1_ObservedQuality,Q5,-0.0008051313223551834
2016-01-31,Method1_ObservedQuality,Q5,-0.07701689474743893
2016-02-29,Method1_ObservedQuality,Q5,-0.01947863664741312
2016-03-31,Method1_ObservedQuality,Q5,-0.003549624277333514
2016-04-30,Method1_ObservedQuality,Q5,-0.014313659806137795
2016-05-31,Method1_ObservedQuality,Q5,0.02531721024439777
2016-06-30,Method1_ObservedQuality,Q5,-0.028752639223310814
2016-07-31,Method1_ObservedQuality,Q5,0.0657361845310309
2016-08-31,Method1_ObservedQuality,Q5,-0.0351449720660087
2016-09-30,Method1_ObservedQuality,Q5,-0.03609796504962097
2016-10-31,Method1_ObservedQuality,Q5,-0.05256275273344407
2016-11-30,Method1_ObservedQuality,Q5,0.009089168430678233
2016-12-31,Method1_ObservedQuality,Q5,0.05930393322005168
