Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2015,PLT.OL,Polight ASA,"Computers, Phones & Household Electronics",Information Technology,OBX,84.0,75.1,20.86,3.0,0.0,1.57,101.69,-32.97
2016,PLT.OL,Polight ASA,"Computers, Phones & Household Electronics",Information Technology,OBX,174.32,166.95,22.71,1.8,0.04,2.71,219.55,-30.8
2017,PLT.OL,Polight ASA,"Computers, Phones & Household Electronics",Information Technology,OBX,101.82,93.65,20.54,0.6,0.14,1.87,171.13,-46.94
2018,PLT.OL,Polight ASA,"Computers, Phones & Household Electronics",Information Technology,OBX,142.1,127.42,18.07,0.0,0.23,1.61,219.53,-79.92
2019,PLT.OL,Polight ASA,"Computers, Phones & Household Electronics",Information Technology,OBX,87.9,73.46,15.85,0.0,0.0,1.24,145.0,-49.54
2020,PLT.OL,Polight ASA,"Computers, Phones & Household Electronics",Information Technology,OBX,96.31,77.21,12.92,0.0,0.0,0.84,141.76,-42.63
2021,PLT.OL,Polight ASA,"Computers, Phones & Household Electronics",Information Technology,OBX,198.18,157.81,21.35,,,2.36,238.69,-49.55
2022,PLT.OL,Polight ASA,"Computers, Phones & Household Electronics",Information Technology,OBX,138.77,84.25,24.58,,,10.75,178.24,-63.6
2023,PLT.OL,Polight ASA,"Computers, Phones & Household Electronics",Information Technology,OBX,193.7,114.79,21.94,,,9.24,223.43,-94.63
2024,PLT.OL,Polight ASA,"Computers, Phones & Household Electronics",Information Technology,OBX,233.93,166.75,22.17,0.37,,9.56,264.03,-69.21
