Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,132.28,24.79,73.15,,0.53,,169.61,15.14
2005,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,216.15,84.68,153.86,,4.29,,766.25,46.24
2006,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,298.9,71.78,191.64,0.33,0.12,,1203.46,44.97
2007,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,330.05,52.0,174.04,2.19,4.08,,1186.46,49.33
2008,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,435.27,180.63,749.81,2.35,20.22,,1489.13,127.43
2009,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,261.4,84.39,234.68,,,21.7,935.16,176.57
2010,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,284.1,73.07,227.72,,10.66,,899.02,88.56
2011,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,268.41,60.86,241.18,49.75,0.77,,679.39,68.9
2012,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,203.33,58.46,238.21,50.08,,15.8,678.02,149.07
2013,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,224.31,53.81,259.63,34.53,0.45,16.56,694.38,37.91
2014,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,230.77,46.39,294.9,59.65,0.14,15.35,726.66,15.72
2015,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,292.33,64.41,327.2,51.04,9.65,17.85,809.24,59.74
2016,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,191.83,18.11,221.73,42.78,3.82,21.67,602.83,35.4
2017,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,338.0,116.74,281.35,35.95,2.35,32.42,852.75,29.33
2018,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,287.47,17.17,321.23,78.88,7.92,37.69,872.91,34.58
2019,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,381.69,57.45,376.44,,12.94,8.8,1122.97,121.03
2020,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,440.1,171.91,439.39,,8.28,10.34,1268.44,252.95
2021,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,509.91,181.69,504.71,,9.86,6.87,1432.04,169.17
2022,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,547.11,150.32,637.8,,0.0,5.98,1678.7,143.86
2023,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,615.67,138.74,718.33,,,5.38,1880.84,193.62
2024,DIGIA.HE,Digia Oyj,Software & IT Services,Information Technology,661.75,214.54,738.25,,,5.48,1923.73,291.06
