Exchange,Method,Portfolio,Date,n_firms,raw_weight_sum,ucits_weight_sum,max_raw_weight,max_ucits_weight,cash_weight,large_position_weight,n_large_positions,n_names_single_cap_binding,aggregate_cap_relaxed
Copenhagen,Method1_ObservedQuality,Q1,2010-07-31,15,0.9999999999999998,1.0,0.8231950919498062,0.1,0.0,0.849100299276707,9,1,True
Copenhagen,Method1_ObservedQuality,Q5,2010-07-31,11,1.0,1.0,0.6982674312780098,0.1,0.0,1.0,11,1,True
Copenhagen,Method2_LatentQuality,Q1,2010-07-31,15,0.9999999999999998,1.0,0.8231950919498062,0.1,0.0,0.849100299276707,9,1,True
Copenhagen,Method2_LatentQuality,Q5,2010-07-31,10,1.0,1.0,0.7020446501178114,0.1,0.0,1.0,10,1,True
Copenhagen,Method3_ConservativeQuality,Q1,2010-07-31,14,0.9999999999999998,1.0,0.8543404634932075,0.1,0.0,0.8422496158495069,9,1,True
Copenhagen,Method3_ConservativeQuality,Q5,2010-07-31,10,1.0,1.0,0.7020446501178114,0.1,0.0,1.0,10,1,True
Copenhagen,Method4_ProbabilisticQuality,Q1,2010-07-31,14,0.9999999999999998,1.0,0.8543404634932075,0.1,0.0,0.8422496158495069,9,1,True
Copenhagen,Method4_ProbabilisticQuality,Q5,2010-07-31,10,1.0,1.0,0.7020446501178114,0.1,0.0,1.0,10,1,True
Copenhagen,Method1_ObservedQuality,Q1,2010-08-31,16,1.0,1.0,0.8316271727986935,0.10000000000000002,0.0,0.4,4,1,False
Copenhagen,Method1_ObservedQuality,Q5,2010-08-31,11,1.0000000000000002,1.0,0.6772052995518064,0.1,0.0,1.0,11,2,True
Copenhagen,Method2_LatentQuality,Q1,2010-08-31,16,1.0,1.0,0.8316271727986935,0.10000000000000002,0.0,0.4,4,1,False
Copenhagen,Method2_LatentQuality,Q5,2010-08-31,10,1.0000000000000002,1.0,0.6824609713221567,0.1,0.0,1.0,10,2,True
Copenhagen,Method3_ConservativeQuality,Q1,2010-08-31,15,1.0,1.0,0.861262418166954,0.1,0.0,0.8378962969246178,9,1,True
Copenhagen,Method3_ConservativeQuality,Q5,2010-08-31,10,1.0000000000000002,1.0,0.6824609713221567,0.1,0.0,1.0,10,2,True
Copenhagen,Method4_ProbabilisticQuality,Q1,2010-08-31,15,1.0,1.0,0.861262418166954,0.1,0.0,0.8378962969246178,9,1,True
Copenhagen,Method4_ProbabilisticQuality,Q5,2010-08-31,10,1.0000000000000002,1.0,0.6824609713221567,0.1,0.0,1.0,10,2,True
Copenhagen,Method1_ObservedQuality,Q1,2010-09-30,16,1.0,1.0,0.854701067138594,0.10000000000000002,0.0,0.4,4,1,False
Copenhagen,Method1_ObservedQuality,Q5,2010-09-30,11,0.9999999999999999,1.0,0.6918521283051441,0.1,0.0,1.0,11,2,True
Copenhagen,Method2_LatentQuality,Q1,2010-09-30,16,1.0,1.0,0.854701067138594,0.10000000000000002,0.0,0.4,4,1,False
Copenhagen,Method2_LatentQuality,Q5,2010-09-30,10,1.0,1.0,0.6967049541587313,0.1,0.0,1.0,10,2,True
