Exchange,Method,Portfolio,Date,n_firms,raw_weight_sum,ucits_weight_sum,max_raw_weight,max_ucits_weight,cash_weight,large_position_weight,n_large_positions,n_names_single_cap_binding,aggregate_cap_relaxed
Copenhagen,Method1_ObservedQuality,Q1,2010-01-31,16,0.9999999999999999,1.0,0.8102654682382812,0.10000000000000002,0.0,0.4,4,1,False
Copenhagen,Method1_ObservedQuality,Q5,2010-01-31,11,1.0,1.0,0.6353867510977445,0.1,0.0,0.9561398668155798,10,2,True
Copenhagen,Method2_LatentQuality,Q1,2010-01-31,16,0.9999999999999999,1.0,0.8102654682382812,0.10000000000000002,0.0,0.4,4,1,False
Copenhagen,Method2_LatentQuality,Q5,2010-01-31,10,0.9999999999999999,1.0,0.6442455749797176,0.1,0.0,1.0,10,2,True
Copenhagen,Method3_ConservativeQuality,Q1,2010-01-31,15,1.0,1.0,0.8380787114993028,0.1,0.0,0.8478642696593,9,1,True
Copenhagen,Method3_ConservativeQuality,Q5,2010-01-31,10,0.9999999999999999,1.0,0.6442455749797176,0.1,0.0,1.0,10,2,True
Copenhagen,Method4_ProbabilisticQuality,Q1,2010-01-31,15,1.0,1.0,0.8380787114993028,0.1,0.0,0.8478642696593,9,1,True
Copenhagen,Method4_ProbabilisticQuality,Q5,2010-01-31,10,0.9999999999999999,1.0,0.6442455749797176,0.1,0.0,1.0,10,2,True
Copenhagen,Method1_ObservedQuality,Q1,2010-02-28,16,1.0,1.0,0.8016269344571535,0.10000000000000002,0.0,0.4,4,1,False
Copenhagen,Method1_ObservedQuality,Q5,2010-02-28,11,1.0000000000000002,1.0,0.6389417616775085,0.1,0.0,0.9520113049328793,10,2,True
Copenhagen,Method2_LatentQuality,Q1,2010-02-28,16,1.0,1.0,0.8016269344571535,0.10000000000000002,0.0,0.4,4,1,False
Copenhagen,Method2_LatentQuality,Q5,2010-02-28,10,1.0000000000000002,1.0,0.6486740634637654,0.1,0.0,1.0,10,2,True
Copenhagen,Method3_ConservativeQuality,Q1,2010-02-28,15,0.9999999999999997,1.0,0.8275746056104136,0.1,0.0,0.8518667703071157,9,1,True
Copenhagen,Method3_ConservativeQuality,Q5,2010-02-28,10,1.0000000000000002,1.0,0.6486740634637654,0.1,0.0,1.0,10,2,True
Copenhagen,Method4_ProbabilisticQuality,Q1,2010-02-28,15,0.9999999999999997,1.0,0.8275746056104136,0.1,0.0,0.8518667703071157,9,1,True
Copenhagen,Method4_ProbabilisticQuality,Q5,2010-02-28,10,1.0000000000000002,1.0,0.6486740634637654,0.1,0.0,1.0,10,2,True
Copenhagen,Method1_ObservedQuality,Q1,2010-03-31,16,1.0,1.0,0.7880567185969581,0.10000000000000002,0.0,0.4,4,1,False
Copenhagen,Method1_ObservedQuality,Q5,2010-03-31,11,1.0000000000000002,1.0,0.6569989085818367,0.1,0.0,0.9510817202305261,10,2,True
Copenhagen,Method2_LatentQuality,Q1,2010-03-31,16,1.0,1.0,0.7880567185969581,0.10000000000000002,0.0,0.4,4,1,False
Copenhagen,Method2_LatentQuality,Q5,2010-03-31,10,1.0000000000000002,1.0,0.6661136095130993,0.1,0.0,1.0,10,2,True
Copenhagen,Method3_ConservativeQuality,Q1,2010-03-31,15,1.0000000000000002,1.0,0.8106280140294276,0.1,0.0,0.8545244159375801,9,1,True
Copenhagen,Method3_ConservativeQuality,Q5,2010-03-31,10,1.0000000000000002,1.0,0.6661136095130993,0.1,0.0,1.0,10,2,True
Copenhagen,Method4_ProbabilisticQuality,Q1,2010-03-31,15,1.0000000000000002,1.0,0.8106280140294276,0.1,0.0,0.8545244159375801,9,1,True
Copenhagen,Method4_ProbabilisticQuality,Q5,2010-03-31,10,1.0000000000000002,1.0,0.6661136095130993,0.1,0.0,1.0,10,2,True
Copenhagen,Method1_ObservedQuality,Q1,2010-04-30,16,0.9999999999999999,1.0,0.788767959896166,0.10000000000000002,0.0,0.4,4,1,False
Copenhagen,Method1_ObservedQuality,Q5,2010-04-30,11,1.0,1.0,0.6713082601396659,0.1,0.0,0.9523564400242315,10,2,True
Copenhagen,Method2_LatentQuality,Q1,2010-04-30,16,0.9999999999999999,1.0,0.788767959896166,0.10000000000000002,0.0,0.4,4,1,False
Copenhagen,Method2_LatentQuality,Q5,2010-04-30,10,1.0,1.0,0.6777725959841588,0.1,0.0,1.0,10,2,True
Copenhagen,Method3_ConservativeQuality,Q1,2010-04-30,15,0.9999999999999999,1.0,0.8185789812980758,0.1,0.0,0.8373393135338246,9,1,True
Copenhagen,Method3_ConservativeQuality,Q5,2010-04-30,10,1.0,1.0,0.6777725959841588,0.1,0.0,1.0,10,2,True
Copenhagen,Method4_ProbabilisticQuality,Q1,2010-04-30,15,0.9999999999999999,1.0,0.8185789812980758,0.1,0.0,0.8373393135338246,9,1,True
Copenhagen,Method4_ProbabilisticQuality,Q5,2010-04-30,10,1.0,1.0,0.6777725959841588,0.1,0.0,1.0,10,2,True
Copenhagen,Method1_ObservedQuality,Q1,2010-05-31,16,1.0,1.0,0.789294936859859,0.10000000000000002,0.0,0.4,4,1,False
Copenhagen,Method1_ObservedQuality,Q5,2010-05-31,11,1.0,1.0,0.679360961055593,0.1,0.0,0.9539005559803859,10,2,True
Copenhagen,Method2_LatentQuality,Q1,2010-05-31,16,1.0,1.0,0.789294936859859,0.10000000000000002,0.0,0.4,4,1,False
Copenhagen,Method2_LatentQuality,Q5,2010-05-31,10,1.0000000000000002,1.0,0.6848288624593947,0.1,0.0,1.0,10,2,True
Copenhagen,Method3_ConservativeQuality,Q1,2010-05-31,15,0.9999999999999998,1.0,0.8212364559381278,0.1,0.0,0.8483951648769639,9,1,True
Copenhagen,Method3_ConservativeQuality,Q5,2010-05-31,10,1.0000000000000002,1.0,0.6848288624593947,0.1,0.0,1.0,10,2,True
Copenhagen,Method4_ProbabilisticQuality,Q1,2010-05-31,15,0.9999999999999998,1.0,0.8212364559381278,0.1,0.0,0.8483951648769639,9,1,True
Copenhagen,Method4_ProbabilisticQuality,Q5,2010-05-31,10,1.0000000000000002,1.0,0.6848288624593947,0.1,0.0,1.0,10,2,True
