Exchange,PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs
Copenhagen,Q5,CAPM,Method1_ObservedQuality,0.05310353012701496,0.004425294177251246,1.549034831218674,0.12306406664710257,0.5405257929690015,189
Copenhagen,Q5,FF3,Method1_ObservedQuality,0.05777542855798675,0.004814619046498896,2.15786099813973,0.03222769697829175,0.5999351391846439,189
Copenhagen,Q5,FF3+MOM,Method1_ObservedQuality,0.059304850586837696,0.004942070882236475,2.675938685081723,0.0081244966506957,0.5999542990959896,189
Copenhagen,Q5,FF5,Method1_ObservedQuality,0.04837077802187477,0.004030898168489564,1.7564760892526037,0.08067980307570344,0.6055964532118496,189
Copenhagen,Q5,FF5+MOM,Method1_ObservedQuality,0.05249613138901763,0.004374677615751469,2.2641049326271907,0.02474747467142846,0.6057420997253236,189
Copenhagen,Q5,CAPM,Method2_LatentQuality,0.0571677835294321,0.0047639819607860085,1.52888154320547,0.12798358024199286,0.5379222021084384,189
Copenhagen,Q5,FF3,Method2_LatentQuality,0.06272871143696172,0.00522739261974681,2.1627728032827416,0.03184191839658679,0.6053460897521354,189
Copenhagen,Q5,FF3+MOM,Method2_LatentQuality,0.05988376912159815,0.004990314093466512,2.473126763901052,0.01430090428009767,0.6054122949701253,189
Copenhagen,Q5,FF5,Method2_LatentQuality,0.05701372588127239,0.0047511438234393655,1.910016853847282,0.05769493596839914,0.6090157369755766,189
Copenhagen,Q5,FF5+MOM,Method2_LatentQuality,0.056618907725244895,0.004718242310437075,2.2090030750946257,0.02842270919753176,0.609017069203375,189
Copenhagen,Q5,CAPM,Method3_ConservativeQuality,0.05196401397607395,0.004330334498006162,1.4613869849064793,0.14558758362161361,0.5523274746627642,189
Copenhagen,Q5,FF3,Method3_ConservativeQuality,0.056556906982782984,0.004713075581898582,2.013565332434254,0.0455043080677493,0.6166537120796687,189
Copenhagen,Q5,FF3+MOM,Method3_ConservativeQuality,0.053393353727286125,0.004449446143940511,2.277817543334708,0.023887330732513146,0.616742068486944,189
Copenhagen,Q5,FF5,Method3_ConservativeQuality,0.05104998255127349,0.004254165212606124,1.763240264926605,0.07952895037791619,0.6194634918374324,189
Copenhagen,Q5,FF5+MOM,Method3_ConservativeQuality,0.04990914308938173,0.004159095257448477,2.0320371505893053,0.04360349379861339,0.6194754972140545,189
Copenhagen,Q5,CAPM,Method4_ProbabilisticQuality,0.058227231913649605,0.004852269326137467,1.5580703284006574,0.12090735663655261,0.5158733952439245,189
Copenhagen,Q5,FF3,Method4_ProbabilisticQuality,0.06353462350765778,0.005294551958971481,2.154313116611333,0.032508856951950715,0.5777897829667341,189
Copenhagen,Q5,FF3+MOM,Method4_ProbabilisticQuality,0.06604992878633122,0.005504160732194268,2.7109965402514997,0.007343264667586391,0.5778424040458865,189
Copenhagen,Q5,FF5,Method4_ProbabilisticQuality,0.054510961543011285,0.0045425801285842735,1.8374808346522702,0.06776054621006278,0.5836632682340717,189
Copenhagen,Q5,FF5+MOM,Method4_ProbabilisticQuality,0.05978631993302792,0.004982193327752327,2.3583199229876355,0.01941888440579098,0.5839051044032593,189
Helsinki,Q5,CAPM,Method1_ObservedQuality,0.03827042112979628,0.0031892017608163565,1.2177542190321204,0.22485173227268462,0.6124711074960004,189
Helsinki,Q5,FF3,Method1_ObservedQuality,0.03647278304092394,0.0030393985867436615,1.3744167107000755,0.17097499040319364,0.6388314022198759,189
Helsinki,Q5,FF3+MOM,Method1_ObservedQuality,0.04041576323911927,0.003367980269926606,1.7017302864522885,0.09049495974181543,0.6389840584238639,189
Helsinki,Q5,FF5,Method1_ObservedQuality,0.023029266169824165,0.0019191055141520137,0.8381496038435704,0.403040068511348,0.6559951264992359,189
Helsinki,Q5,FF5+MOM,Method1_ObservedQuality,0.027433874623276743,0.0022861562186063953,1.1820159939135597,0.23874140017279255,0.6561941566411386,189
Helsinki,Q5,CAPM,Method2_LatentQuality,0.03289650735839309,0.0027413756131994243,1.0927434998170975,0.2759121796231141,0.6285272313670998,189
Helsinki,Q5,FF3,Method2_LatentQuality,0.031032201113788842,0.0025860167594824036,1.2367985417593703,0.2177296336247443,0.6542950188669248,189
Helsinki,Q5,FF3+MOM,Method2_LatentQuality,0.030500709196685755,0.0025417257663904796,1.2387353787371258,0.217021444226438,0.6542978434844653,189
Helsinki,Q5,FF5,Method2_LatentQuality,0.017391561131090173,0.0014492967609241812,0.6858796958819176,0.4936569837401037,0.6711475599512924,189
Helsinki,Q5,FF5+MOM,Method2_LatentQuality,0.017626595758763148,0.001468882979896929,0.7434553015130889,0.4581647245069438,0.6711481370751083,189
Helsinki,Q5,CAPM,Method3_ConservativeQuality,0.035645138124996145,0.002970428177083012,1.2023827197407269,0.2307355764158736,0.6493822699525382,189
Helsinki,Q5,FF3,Method3_ConservativeQuality,0.03384617992360399,0.002820514993633666,1.3151551346675106,0.19008553592596544,0.6661981099467543,189
