Exchange,PortfolioStrategy,FactorModel,Method1_ObservedQuality_alpha_annualized,Method2_LatentQuality_alpha_annualized,Method3_ConservativeQuality_alpha_annualized,Method4_ProbabilisticQuality_alpha_annualized,Method1_ObservedQuality_p_value,Method2_LatentQuality_p_value,Method3_ConservativeQuality_p_value,Method4_ProbabilisticQuality_p_value,Method1_ObservedQuality_t_stat,Method2_LatentQuality_t_stat,Method3_ConservativeQuality_t_stat,Method4_ProbabilisticQuality_t_stat,Method2_LatentQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method3_ConservativeQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method4_ProbabilisticQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method2_LatentQuality_minus_Method1_ObservedQuality_p_value,Method3_ConservativeQuality_minus_Method1_ObservedQuality_p_value,Method4_ProbabilisticQuality_minus_Method1_ObservedQuality_p_value,Method2_LatentQuality_minus_Method1_ObservedQuality_t_stat,Method3_ConservativeQuality_minus_Method1_ObservedQuality_t_stat,Method4_ProbabilisticQuality_minus_Method1_ObservedQuality_t_stat
Copenhagen,LongShort,CAPM,0.1397338028308963,0.14532177861329895,0.15267373521979713,0.15538168025617966,0.0511405624106529,0.05113050360907323,0.040174989957281415,0.04683028544102941,1.9629027512821366,1.9629886158992726,2.0663364888363702,2.0010764488994206,0.0055879757824026256,0.012939932388900876,0.015647877425283337,0.9566846760875711,0.8996979617792409,0.88219946418437,0.05435082688851438,0.12612852766264313,0.14828284900976957
Copenhagen,LongShort,FF3,0.15322582258864983,0.1607891446730677,0.16797680214506425,0.1702879732378515,0.01944805423604934,0.01405976495825123,0.012930497878942626,0.014923827985598992,2.357403184776232,2.4792760739593795,2.51001389236577,2.4572073309656295,0.007563322084407902,0.014750979556405256,0.017062150649192122,0.9344038151146767,0.8744074951657255,0.8576460177943162,0.08236146489084639,0.1581720773610886,0.1794966319837746
Copenhagen,LongShort,FF3+MOM,0.14545648478284826,0.15440632127064924,0.14843219479533085,0.161767716011344,0.024456538627024127,0.020753874924827276,0.03189744913423853,0.021505901423727103,2.268558948048058,2.3325406861977256,2.1621522402023667,2.3187777545169417,0.008949836487799078,0.0029757100124799245,0.016311231228494254,0.922649686327158,0.9747509676088204,0.8632550483662769,0.09716320087758243,0.031671783055226575,0.1723526406634798
Copenhagen,LongShort,FF5,0.13194012265188462,0.14534876226582305,0.14802741238893266,0.15339809760002437,0.040708731313727764,0.025578256472551297,0.03182159215190872,0.025462058711626323,2.0610899629336603,2.2509520882130563,2.1632134688422777,2.2527547990017323,0.013408639613902401,0.01608728973701617,0.021457974948106882,0.8829194589182927,0.8638084212966355,0.818671140790141,0.14737211926919894,0.17164890499274438,0.2294193607623208
Copenhagen,LongShort,FF5+MOM,0.13306573350815576,0.14776406261671388,0.13797801512346375,0.1534479068737453,0.0325637212563481,0.02298039808911101,0.04102812540970158,0.024759000681494836,2.1538929517328476,2.2931889085232977,2.057871077809802,2.263921268302406,0.014698329108556861,0.004912281615306692,0.020382173365588317,0.8692691173506826,0.9570544533855532,0.8241855360651094,0.164703079387561,0.053887380881095064,0.22232505881559175
Copenhagen,Q5,CAPM,0.05310353012701496,0.0571677835294321,0.05774462212617351,0.058227231913649605,0.12306406664710257,0.12798358024199286,0.12664990252329167,0.12090735663655261,1.549034831218674,1.52888154320547,1.5342841284878574,1.5580703284006574,0.004064253402417228,0.004641091999158645,0.005123701786634793,0.9357993408325176,0.9269626031825944,0.9190092994105417,0.08060482842463625,0.09172882853985811,0.10175043190313919
Copenhagen,Q5,FF3,0.05777542855798675,0.06272871143696172,0.06299136907517558,0.06353462350765778,0.03222769697829175,0.03184191839658679,0.03447058961087368,0.032508856951950715,2.15786099813973,2.1627728032827416,2.1302700894499598,2.154313116611333,0.004953282878946391,0.005215940517160178,0.005759194949642887,0.898880211284639,0.8946930630818608,0.883490104991232,0.12716332485565568,0.1324592417454643,0.1466475287522341
Copenhagen,Q5,FF3+MOM,0.059304850586837696,0.05988376912159815,0.06366770843139972,0.06604992878633122,0.0081244966506957,0.01430090428009767,0.009213661641675586,0.007343264667586391,2.675938685081723,2.473126763901052,2.6318279859365274,2.7109965402514997,0.0005789185347593595,0.004362857844561377,0.006745078199493562,0.9860400434300185,0.8950565471636667,0.8390550506943186,0.01750899795907215,0.13199985369163816,0.20324605580984123
Copenhagen,Q5,FF5,0.04837077802187477,0.05701372588127239,0.05720890178967006,0.054510961543011285,0.08067980307570344,0.05769493596839914,0.05927693310361848,0.06776054621006278,1.7564760892526037,1.910016853847282,1.8979496134227503,1.8374808346522702,0.008642947859337405,0.008838123767735365,0.006140183521078799,0.828770956798367,0.8259228043133906,0.8769667432825985,0.2164328325006594,0.22009124079697806,0.1549238590722699
Copenhagen,Q5,FF5+MOM,0.05249613138901763,0.056618907725244895,0.06028013380113421,0.05978631993302792,0.02474747467142846,0.02842270919753176,0.019163446081552182,0.01941888440579098,2.2641049326271907,2.2090030750946257,2.363385462443731,2.3583199229876355,0.004122776336226097,0.007784002412115368,0.007290188544009368,0.9056506752581772,0.8224719963101725,0.8331574621201052,0.1186088566883216,0.2245286012208557,0.21080491743517585
