Method,Portfolio,FactorModel,alpha,t_stat,p_value,r_squared,n_obs
Method1_ObservedQuality,Q1,CAPM,0.0019334932389710154,0.9380477716627791,0.3498469428677804,0.6111521333207899,141.0
Method1_ObservedQuality,Q1,FF3,0.0010437062679861935,0.5802683922746038,0.5626868239146003,0.6486356781071954,141.0
Method1_ObservedQuality,Q1,Carhart,0.0030834509353687267,1.3510689569367818,0.17891674288603676,0.6536392735213583,141.0
Method1_ObservedQuality,Q1,FF5,0.005050024715127343,2.254513301274002,0.025774369111050577,0.8065814952951216,141.0
Method1_ObservedQuality,Q1,FF5_MOM,0.0053794687363399925,2.493210176689126,0.013877319358380769,0.8067223150059435,141.0
Method1_ObservedQuality,Q2,CAPM,0.00039690020506023035,0.1433905322294799,0.8861894233683913,0.5582846435576199,141.0
Method1_ObservedQuality,Q2,FF3,-0.0009573636764965561,-0.3674904557343061,0.7138202966301348,0.6396195685176088,141.0
Method1_ObservedQuality,Q2,Carhart,0.0023965832830872328,0.9182375895830426,0.3601201059546195,0.6535761801269246,141.0
Method1_ObservedQuality,Q2,FF5,1.4760239549445343e-05,0.006214629189622315,0.995050649344627,0.6673262322537272,141.0
Method1_ObservedQuality,Q2,FF5_MOM,0.0026428621216903485,1.1343066206601649,0.2586910569097134,0.6765715453102317,141.0
Method1_ObservedQuality,Q3,CAPM,0.003300219906721443,1.227042649991803,0.22188079341289035,0.6460812571281511,141.0
Method1_ObservedQuality,Q3,FF3,0.0027162542797211048,1.3509613954983815,0.17893476990607748,0.6821754784633476,141.0
Method1_ObservedQuality,Q3,Carhart,0.003183773640753645,1.3701984834670504,0.17288257552415587,0.6825028725358929,141.0
Method1_ObservedQuality,Q3,FF5,0.0034426895709417722,1.7009844012729063,0.0912481925658799,0.689219242797422,141.0
Method1_ObservedQuality,Q3,FF5_MOM,0.003794198070120196,1.687706724526434,0.09379379747170957,0.6894189128287446,141.0
Method1_ObservedQuality,Q4,CAPM,-0.001289466798017537,-0.6015276059237614,0.5484684301918135,0.7349201404206315,141.0
Method1_ObservedQuality,Q4,FF3,-0.0017074219378149077,-0.8480152144773242,0.39790865165722766,0.7453945697587796,141.0
Method1_ObservedQuality,Q4,Carhart,-0.0015592091189747697,-0.800097542080086,0.4250496470513092,0.7454268231910421,141.0
Method1_ObservedQuality,Q4,FF5,-0.0022517972793788307,-1.0769139106249925,0.28343939828040465,0.7481425351726556,141.0
Method1_ObservedQuality,Q4,FF5_MOM,-0.001931645159623673,-1.0268107043548418,0.3063595799198937,0.7483048980654945,141.0
Method1_ObservedQuality,Q5,CAPM,0.0008953295304372609,0.39871856245957354,0.6907124275277781,0.7928855046728005,141.0
Method1_ObservedQuality,Q5,FF3,0.0020043979379240646,1.1249986205357898,0.2625567269976772,0.8556633691893375,141.0
Method1_ObservedQuality,Q5,Carhart,0.0012683044529491394,0.771824534366823,0.4415574241228222,0.8564698866568011,141.0
Method1_ObservedQuality,Q5,FF5,0.0008792406578354372,0.49067565490224924,0.6244524889614875,0.8688925695277853,141.0
Method1_ObservedQuality,Q5,FF5_MOM,0.0005788051191394183,0.3490188181623362,0.7276230090494114,0.8690375201396929,141.0
Method2_LatentQuality,Q1,CAPM,0.003320950271943617,1.3395625803292261,0.18257366488815485,0.5874884907702607,141.0
Method2_LatentQuality,Q1,FF3,0.00233016456513264,1.245535766751569,0.2150608764421187,0.6425718202171784,141.0
Method2_LatentQuality,Q1,Carhart,0.004204695181380357,1.5118762294504904,0.13288555801715818,0.6470060358834215,141.0
Method2_LatentQuality,Q1,FF5,0.006090350266044272,2.768030354537471,0.006432273694468638,0.8169251966407025,141.0
Method2_LatentQuality,Q1,FF5_MOM,0.006202510584177438,2.3919779920382873,0.018146153593035397,0.8169423235822422,141.0
Method2_LatentQuality,Q2,CAPM,-0.0009453015238314174,-0.41018736683900925,0.6823000418442731,0.5992264979684482,141.0
Method2_LatentQuality,Q2,FF3,-0.002210451473900104,-0.9947275490570799,0.3216224663084515,0.6669441677807593,141.0
Method2_LatentQuality,Q2,Carhart,0.00024333983263594036,0.0743259259504402,0.9408602600642377,0.674385398231744,141.0
Method2_LatentQuality,Q2,FF5,-0.0014751210018347108,-0.6436062521623085,0.5209226384959451,0.6732304811504985,141.0
Method2_LatentQuality,Q2,FF5_MOM,0.0005855502529899659,0.17542522422075682,0.8610103293785896,0.6788923075371809,141.0
Method2_LatentQuality,Q3,CAPM,0.00282935177521505,1.07359649575896,0.28486381157812013,0.6699912290745131,141.0
Method2_LatentQuality,Q3,FF3,0.0023643685682214243,1.1650765472853302,0.24601261006637665,0.6974527070126288,141.0
Method2_LatentQuality,Q3,Carhart,0.002881160903339497,1.2176673006588417,0.22545890563853743,0.6978460399798889,141.0
Method2_LatentQuality,Q3,FF5,0.0032121212791433235,1.5894259555727255,0.11430346162545302,0.7100200629572754,141.0
Method2_LatentQuality,Q3,FF5_MOM,0.0036488248611556986,1.652817871945216,0.10070906154968595,0.7103230829921072,141.0
Method2_LatentQuality,Q4,CAPM,-0.0018545421078687333,-0.8444081764155744,0.3998923339052771,0.684136637665123,141.0
Method2_LatentQuality,Q4,FF3,-0.0024587410193095487,-1.234765084951107,0.21903152847009677,0.7024092911415368,141.0
Method2_LatentQuality,Q4,Carhart,-0.0013500093373101782,-0.6717156427843137,0.5029041695130063,0.7042113404198682,141.0
Method2_LatentQuality,Q4,FF5,-0.0025556801496139886,-1.3517832463512711,0.17870520927354572,0.7025444556114758,141.0
Method2_LatentQuality,Q4,FF5_MOM,-0.0014318286698786434,-0.7354759370584785,0.46333504829504024,0.7045420219247669,141.0
